Year,Low Recruitment,Recruitment,High Recruitment,Low TBiomass,TBiomass,High TBiomass,Low SSB,SSB,High SSB,Landings,Catches,Discards,Low F,F,High F
1963,321966,446529,619281,261050.5349,316908.5454,384718.7144,78755,131187,218526,115893.2515,128091.8241,12198.57254,0.403,0.471,0.55
1964,526131,727964,1007225,305840.8319,360718.7451,425443.5626,84982,140120,231032,125393.3801,130048.9909,4655.610766,0.45,0.517,0.595
1965,715333,985009,1356350,396156.5173,459169.4872,532205.35,99526,163823,269660,180119.5435,209092.1803,28972.63674,0.495,0.569,0.654
1966,867006,1193302,1642398,475282.7613,545228.7929,625468.586,113104,183167,296630,220197.4879,258059.1976,37861.70978,0.503,0.576,0.658
1967,735076,1012126,1393595,533556.7089,609506.4082,696267.2484,130737,206032,324690,251686.6968,274971.6196,23284.92282,0.543,0.617,0.702
1968,362511,500385,690696,523317.1353,590165.2314,665552.4478,131869,210716,336705,286948.4017,304416.7453,17468.34357,0.572,0.653,0.744
1969,313878,435718,604853,424717.2956,481914.2609,546813.9802,138341,209070,315962,199746.2075,204502.9831,4756.775587,0.539,0.613,0.696
1970,1072818,1479665,2040800,472586.1606,537468.8183,611259.395,148068,213550,307991,224993.0602,242655.7215,17662.66127,0.574,0.648,0.731
1971,1413516,1956201,2707235,570831.6528,647446.2861,734343.8145,160622,219837,300883,326491.8035,410498.3954,84006.59188,0.663,0.744,0.834
1972,346319,479664,664352,544896.303,614170.6815,692252.1294,146718,201530,276820,352161.4588,385764.077,33602.61826,0.726,0.813,0.912
1973,505031,698722,966697,412698.3081,454364.6396,500237.6353,116695,166750,238274,237874.2983,267840.0599,29965.76161,0.701,0.786,0.882
1974,497909,689808,955667,390719.8148,434111.2623,482321.5535,130971,177838,241477,213215.0715,252747.7513,39532.67984,0.667,0.75,0.843
1975,857767,1197898,1672902,375503.4616,417838.2475,464945.9164,131812,168209,214656,204248.6078,241089.4608,36840.85304,0.724,0.81,0.905
1976,583430,820106,1152792,354752.105,397449.7326,445286.4063,115967,145059,181451,233007.0734,305403.9025,72396.82913,0.775,0.868,0.971
1977,1433422,2002052,2796253,367140.8952,413842.7065,466485.1777,97348,121682,152097,208318.2951,347344.8863,139026.5912,0.735,0.823,0.92
1978,841376,1177574,1648111,452393.1736,514223.7042,584504.8807,96448,116822,141500,294640.1891,327073.8742,32433.68513,0.825,0.92,1.027
1979,1058000,1478518,2066177,466379.4621,517641.3527,574537.6712,96765,117511,142704,266019.3977,428297.4612,162278.0635,0.751,0.838,0.936
1980,1688976,2370072,3325825,500544.9861,562222.1214,631499.111,98074,117719,141300,293753.3855,587961.53,294208.1446,0.829,0.921,1.024
1981,664966,931094,1303729,517419.6497,580859.3441,652077.2411,107717,127896,151856,333615.5689,390691.1922,57075.62324,0.839,0.931,1.033
1982,1054901,1459702,2019840,463431.6939,511428.9449,564397.233,110076,129629,152656,302364.5338,356372.3669,54007.8331,0.946,1.046,1.157
