Prey,Predator,Intercept,logbPredator,logbPrey,Npred
1,,-5.050965689,1.410438034,-0.246109496,88
2,,-6.862945372,1.554528004,-0.166796428,88
3,,-6.958168035,1.38999513,-0.122533958,88
1,,2.324555922,NA,-0.250388948,224
2,,2.585418729,NA,-0.301430919,224
1,2,-13.3757484,1.075964403,-0.124047368,
1,3,-10.48454551,0.923879933,-0.088211003,
1,4,-9.684056523,0.884622061,-0.074631755,
1,5,-9.237195478,0.83574969,-0.060384673,
1,6,-9.353143483,0.860453772,-0.059836816,
2,5,-11.9181104,0.768133054,0.18738728,
2,6,-9.734754887,0.864268236,-0.038695018,
1,,-18.49326447,1.919397959,-0.459320543,27701
1,,-11.39386054,0.971044622,-0.242620422,20949
1,,-10.20859553,0.808415326,-0.230527818,9388
1,,-10.56068345,0.854289965,-0.240002154,8150
