Year,Low Recruitment,Recruitment,High Recruitment,Low TBiomass,TBiomass,High TBiomass,Low SSB,SSB,High SSB,Catches,Landings,Low F,F,High F
1947,19566759,34857881,62098781,6509047,8596428,11353209,3812859,5304809,7380551,581760,,0.08904,0.1273,0.1819
1948,19643157,33168667,56007315,5643991,7398166,9697544,3269228,4507224,6214025,502100,,0.0818,0.1152,0.1622
1949,16603093,27738944,46343714,5270800,6812224,8804431,2988470,4073143,5551502,508500,,0.1005,0.1399,0.1947
1950,24197834,39631096,64907620,5058209,6433639,8183076,2856938,3817484,5100980,491700,,0.1092,0.1482,0.2011
1951,23614595,38360314,62313739,5032127,6293017,7869846,2559170,3376403,4454607,600400,,0.1501,0.1984,0.2624
1952,23644950,38129475,61486990,4865442,6039356,7496507,2438907,3192340,4178525,664400,,0.167,0.2198,0.2892
1953,27707974,43298993,67662933,4703122,5811393,7180824,2265210,2959020,3865337,698500,,0.1783,0.2336,0.3061
1954,26015170,40509210,63078430,4601866,5667463,6979808,2056007,2702263,3551653,762900,,0.2129,0.2807,0.3701
1955,22185594,34330892,53125021,4391804,5413699,6673371,2073292,2711088,3545086,806400,,0.1923,0.2528,0.3324
1956,16360988,25331383,39220062,4114586,5057134,6215596,2012275,2625707,3426140,675200,,0.1912,0.25,0.3268
1957,37135278,57963495,90473720,4037420,4946212,6059566,1820665,2376135,3101074,682900,,0.2062,0.27,0.3536
1958,16120130,24750757,38002174,4029065,4956761,6098059,1548848,2019640,2633536,670500,,0.1918,0.2489,0.323
1959,18051180,28494509,44979723,4545199,5527220,6721414,2257045,2921352,3781181,784500,,0.2313,0.2996,0.3879
1960,7921912,12367216,19306960,3804361,4627866,5629630,1946027,2512220,3243147,696200,,0.1914,0.2458,0.3158
1961,34292842,53361602,83033672,3982820,4800640,5786387,1994375,2537990,3229781,696700,,0.2168,0.2739,0.346
1962,18555381,28315663,43209934,3713501,4475692,5394322,1373269,1770623,2282950,627800,,0.249,0.3158,0.4007
1963,22737402,34500367,52348782,4328076,5175671,6189255,2234463,2790589,3485127,716000,,0.1517,0.1878,0.2324
1964,22910327,34525401,52029083,4421466,5113229,5913223,2079298,2514252,3040190,871200,,0.2445,0.2936,0.3526
1965,11298604,17044568,25712670,4077916,4617448,5228362,1678142,1993503,2368128,1168800,,0.4503,0.532,0.6286
1966,12357458,18512296,27732653,3071396,3461372,3900863,1354624,1595712,1879707,895500,,0.4218,0.4942,0.579
1967,17067719,25695882,38685800,2387640,2677224,3001930,821887,957124,1114612,695500,,0.5966,0.6887,0.795
1968,14742297,22010621,32862413,1999454,2275807,2590355,448778,524139,612154,717800,,0.9548,1.083,1.227
1969,8330232,12613954,19100529,1460128,1689138,1954066,394011,479677,583968,546700,,0.7721,0.8835,1.011
1970,14562338,22028340,33322106,1443715,1661830,1912898,374003,455651,555124,563100,,0.8452,0.9612,1.093
1971,11504088,17203786,25727398,1250025,1469094,1726555,236130,285726,345738,520100,,1.257,1.419,1.602
1972,8425304,12689647,19112326,1138786,1324939,1541521,272004,329391,398884,497500,,0.5367,0.6197,0.7156
1973,4553638,6837978,10268262,969162,1106662,1263670,232982,278904,333878,484000,,0.8332,0.9478,1.078
1974,7148470,10910155,16651325,676502,777475,893519,160941,191534,227942,275100,,0.7917,0.9035,1.031
1975,1641013,2523737,3881290,514217,615050,735656,87481,105793,127939,312800,,1.026,1.19,1.379
1976,2086489,3316846,5272720,379076,453291,542036,110119,145064,191098,174800,,0.6861,0.876,1.119
1977,2705689,4408473,7182878,250457,318237,404361,79690,109640,150847,46000,,0.242,0.3319,0.4553
1978,2600765,4284612,7058655,288753,378021,494886,99908,136400,186220,11000,,0.1421,0.2273,0.3634
1979,4920897,7817493,12419116,394024,497105,627153,142851,186512,243517,25100,,0.116,0.1876,0.3033
1980,8414357,12579125,18805284,547932,667866,814052,167595,210081,263337,70764,,0.132,0.1665,0.21
1981,18469675,27479729,40885155,890505,1090857,1336285,215918,269723,336935,174879,,0.2008,0.2516,0.3153
1982,31440694,46668043,69270296,1386183,1709514,2108264,311037,383532,472923,275079,,0.156,0.1921,0.2366
1983,31905307,46332060,67282218,1948754,2349000,2831450,447195,547127,669392,387202,,0.2235,0.271,0.3285
1984,32037057,46430895,67291699,2649209,3116775,3666864,736525,901451,1103309,428631,,0.2956,0.3546,0.4255
1985,37752875,54857205,79710828,3049640,3551311,4135508,816985,989707,1198946,613780,,0.3787,0.4534,0.5427
