Year,Low Recruitment,Recruitment,High Recruitment,Low TBiomass,TBiomass,High TBiomass,Low SSB,SSB,High SSB,Catches,Landings,Low F,F,High F
1980,5602,7323,9573,,,,2655,3069,3548,1178,1178,0.376,0.443,0.522
1981,5061,6529,8423,,,,3017,3438,3919,1676,1676,0.388,0.451,0.524
1982,2428,3152,4091,,,,3096,3507,3972,1878,1878,0.437,0.506,0.587
1983,4776,6141,7897,,,,2866,3238,3658,1714,1714,0.425,0.492,0.569
1984,5033,6521,8448,,,,3114,3489,3908,1758,1758,0.446,0.516,0.597
1985,5193,6674,8577,,,,3093,3466,3883,1677,1677,0.405,0.469,0.543
1986,6128,7890,10160,,,,3582,3999,4465,2078,2078,0.439,0.506,0.583
1987,9569,12354,15951,,,,4004,4466,4981,2272,2272,0.448,0.517,0.597
1988,9915,12860,16679,,,,4388,4910,5495,2835,2835,0.416,0.48,0.554
1989,4052,5558,7624,,,,4566,5129,5762,2742,2742,0.459,0.527,0.605
1990,2717,3519,4557,,,,4353,4880,5470,2985,2985,0.51,0.585,0.671
1991,3225,4141,5316,,,,3700,4130,4611,2183,2183,0.491,0.563,0.645
1992,3626,4669,6012,,,,3329,3696,4103,1882,1882,0.516,0.591,0.677
1993,3669,4707,6039,,,,2832,3144,3492,1614,1614,0.526,0.602,0.689
1994,1955,2511,3225,,,,2414,2692,3001,1404,1404,0.492,0.564,0.646
1995,1981,2545,3270,,,,2245,2508,2802,1247,1247,0.504,0.577,0.661
1996,4938,6399,8292,,,,2190,2438,2715,1266,1266,0.519,0.594,0.68
1997,4694,6016,7709,,,,2222,2489,2789,1583,1583,0.517,0.593,0.68
1998,4918,6576,8794,,,,2225,2493,2792,1346,1346,0.441,0.508,0.586
1999,3617,4636,5944,,,,2357,2643,2963,1543,1543,0.462,0.53,0.608
2000,2291,2942,3779,,,,2475,2786,3138,1626,1626,0.455,0.522,0.599
2001,3073,3941,5054,,,,2401,2682,2995,1310,1310,0.443,0.508,0.582
2002,3860,5015,6514,,,,2378,2627,2903,1554.38226,1472,0.513,0.585,0.668
2003,4481,5685,7211,,,,2562,2815,3094,1455.403987,1387,0.519,0.591,0.672
2004,3174,4022,5097,,,,2413,2661,2935,1426.894344,1337,0.537,0.61,0.694
2005,4057,5147,6530,,,,2351,2593,2861,1444.687842,1319,0.578,0.656,0.744
2006,4196,5362,6853,,,,2236,2467,2722,1525.405405,1411,0.584,0.662,0.75
2007,2717,3442,4360,,,,1909,2110,2332,1269.10299,1146,0.607,0.691,0.786
2008,4797,6124,7819,,,,1955,2169,2405,1273.768614,1112,0.561,0.645,0.743
2009,5085,6486,8272,,,,2165,2417,2698,1105.831533,1024,0.375,0.436,0.507
2010,7329,9303,11810,,,,2862,3193,3561,1413.408233,1207.32,0.379,0.439,0.508
2011,10860,13800,17536,,,,3666,4092,4568,1658.634538,1416.79,0.328,0.38,0.441
2012,8148,10752,14187,,,,3919,4389,4915,1939.46,1491.89,0.327,0.38,0.44
2013,6282,8187,10671,,,,4541,5098,5725,1822.51,1471.83,0.291,0.338,0.393
2014,11405,14803,19214,,,,5173,5796,6494,2622.36,1489.65,0.337,0.389,0.449
2015,13524,17361,22287,,,,5984,6661,7414,2700.4,1424.17,0.331,0.382,0.442
2016,5385,7073,9291,,,,6329,7033,7816,2631,2012.72,0.318,0.369,0.428
2017,4424,5678,7288,,,,5911,6596,7361,2949.39,2128.02,0.393,0.455,0.526
2018,3984,5170,6710,,,,4822,5424,6101,2513.11,1880.01,0.415,0.485,0.567
2019,3870,5271,7181,,,,3630,4168,4786,2090.85,1724.63,0.469,0.568,0.686
2020,6676,10122,15348,,,,2824,3434,4177,1887.74,1373.35,0.49,0.641,0.839
