"stock","OM","MP","optimised","period","fitness","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","file","id","OM_group"
"ple.27.7e","baseline","rfb","default","11-20",0.605938424498047,1,2,3,1,1,1,1,2,0.95,1.2,0.7,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds",1,"baseline"
"ple.27.7e","baseline","rfb","multiplier","11-20",0.920539177956733,1,2,3,1,1,1,1,2,1.16,1.2,0.7,"output/ple.27.7e/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.16_1.2_0.7.rds",2,"baseline"
"ple.27.7e","baseline","rfb","all","11-20",1.04538040100761,0,5,4,1,1.7,1.7,1.9,2,1.65,1.2,0.7,"output/ple.27.7e/baseline/1000_20/rfb/mp_0_5_4_1_1.7_1.7_1.9_2_1.65_1.2_0.7.rds",3,"baseline"
"cod.27.47d20","baseline","rfb","default","11-20",0.179930562996727,1,2,3,1,1,1,1,2,0.95,1.2,0.7,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.95_1.2_0.7.rds",4,"baseline"
"cod.27.47d20","baseline","rfb","multiplier","11-20",0.576949114965101,1,2,3,1,1,1,1,2,1.73,1.2,0.7,"output/cod.27.47d20/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_1.73_1.2_0.7.rds",5,"baseline"
"cod.27.47d20","baseline","rfb","all","11-20",0.7903319870314,0,4,3,1,0.1,1.3,0.4,4,1.06,1.2,0.7,"output/cod.27.47d20/baseline/1000_20/rfb/mp_0_4_3_1_0.1_1.3_0.4_4_1.06_1.2_0.7.rds",6,"baseline"
"her.27.3a47d","baseline","rfb","default","11-20",0.741971288930003,1,2,3,1,1,1,1,2,0.9,1.2,0.7,"output/her.27.3a47d/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.9_1.2_0.7.rds",7,"baseline"
"her.27.3a47d","baseline","rfb","multiplier","11-20",0.815952619860814,1,2,3,1,1,1,1,2,0.93,1.2,0.7,"output/her.27.3a47d/baseline/1000_20/rfb/mp_1_2_3_1_1_1_1_2_0.93_1.2_0.7.rds",8,"baseline"
"her.27.3a47d","baseline","rfb","all","11-20",0.886730347366822,0,2,3,1,1.2,1.5,1.4,3,0.94,1.2,0.7,"output/her.27.3a47d/baseline/1000_20/rfb/mp_0_2_3_1_1.2_1.5_1.4_3_0.94_1.2_0.7.rds",9,"baseline"
"ple.27.7e","baseline","2over3","default","11-20",-0.266887856741753,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"output/ple.27.7e/baseline/1000_20/2over3/mp.rds",10,"baseline"
"ple.27.7e","baseline","2over3_XSA","default","11-20",0.605348961938166,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"output/ple.27.7e/baseline/1000_20/2over3_XSA/mp.rds",11,"baseline"
"ple.27.7e","baseline","hr","default","11-20",0.617597182028883,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,"output/ple.27.7e/baseline/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",12,"baseline"
"ple.27.7e","baseline","hr","multiplier","11-20",0.942100766255887,NA,NA,NA,NA,NA,NA,1,1,2.46,1.2,0.7,"output/ple.27.7e/baseline/1000_20/hr/mp_1_1_1_1.4_1_2.46_1.2_0.7.rds",13,"baseline"
"ple.27.7e","baseline","hr","all","11-20",1.01338358371886,NA,NA,NA,NA,NA,NA,1,2,2.56,1.2,0.7,"output/ple.27.7e/baseline/1000_20/hr/mp_1_2_1_0.8_2_2.56_1.2_0.7.rds",14,"baseline"
"cod.27.47d20","baseline","hr","default","11-20",-0.217157622935783,NA,NA,NA,NA,NA,NA,1,1,1,1.2,0.7,"output/cod.27.47d20/baseline/1000_20/hr/mp_1_1_1_1.4_1_1_1.2_0.7.rds",15,"baseline"
